N,EstimatedArea,RelativeError
100,0.972214,0.0293236
600,1.18286,0.252344
1100,1.22852,0.300691
1600,0.941832,0.00284281
2100,0.884251,0.0638057
2600,0.912385,0.0340194
3100,0.903218,0.0437252
3600,0.923603,0.0221426
4100,0.934274,0.0108452
4600,0.906695,0.0400439
5100,0.943619,0.000950668
5600,0.970477,0.0274855
6100,0.892524,0.0550472
6600,0.981052,0.038681
7100,0.976322,0.0336728
7600,0.944071,0.000472654
8100,0.968613,0.0255112
8600,0.910037,0.0365053
9100,0.925205,0.0204459
9600,0.915501,0.0307203
10100,0.913496,0.0328435
10600,0.958456,0.0147577
11100,0.966083,0.0228323
11600,0.922765,0.02303
12100,0.931236,0.0140612
12600,0.961411,0.0178866
13100,0.959597,0.0159659
13600,0.962206,0.0187276
14100,0.999794,0.0585242
14600,0.944912,0.000417893
15100,0.979296,0.0368219
15600,0.95414,0.0101887
16100,0.921489,0.0243803
16600,0.948787,0.00452058
17100,0.951746,0.00765358
17600,0.916422,0.0297456
18100,0.934077,0.0110532
18600,0.940329,0.00443383
19100,0.954398,0.0104616
19600,0.940468,0.00428701
20100,0.938355,0.00652353
20600,0.951448,0.007338
21100,0.945028,0.000541521
21600,0.95421,0.010262
22100,0.955937,0.0120905
22600,0.938659,0.00620177
23100,0.979789,0.0373443
23600,0.958207,0.0144943
24100,0.972617,0.0297507
24600,0.957986,0.0142603
25100,0.954009,0.0100494
25600,0.930819,0.0145031
26100,0.920064,0.0258892
26600,0.923237,0.0225296
27100,0.969702,0.0266648
27600,0.93875,0.00610606
28100,0.941421,0.0032778
28600,0.943319,0.00126823
29100,0.954173,0.0102227
29600,0.948237,0.00393821
30100,0.957033,0.0132511
30600,0.964906,0.0215868
31100,0.932512,0.0127099
31600,0.970368,0.0273691
32100,0.958887,0.0152144
32600,0.965951,0.0226929
33100,0.978969,0.036476
33600,0.934888,0.0101951
34100,0.933154,0.0120305
34600,0.975585,0.0328935
35100,0.947008,0.00263739
35600,0.965386,0.0220952
36100,0.956055,0.0122157
36600,0.945119,0.000637488
37100,0.93605,0.00896395
37600,0.936273,0.00872857
38100,0.962517,0.0190573
38600,0.928137,0.0173427
39100,0.951079,0.00694696
39600,0.932687,0.0125252
40100,0.953788,0.00981518
40600,0.943957,0.000592746
41100,0.947849,0.00352785
41600,0.942767,0.00185307
42100,0.949352,0.00511856
42600,0.944599,8.68993e-05
43100,0.942438,0.00220097
43600,0.956828,0.0130338
44100,0.952813,0.00878376
44600,0.939516,0.00529495
45100,0.948501,0.0042181
45600,0.940872,0.00385859
46100,0.97137,0.0284304
46600,0.930696,0.0146325
47100,0.942696,0.00192767
47600,0.922173,0.0236563
48100,0.953416,0.00942187
48600,0.953409,0.00941483
49100,0.944097,0.00044507
49600,0.953593,0.00960869
50100,0.954555,0.0106273
50600,0.952231,0.0081675
51100,0.928454,0.0170061
51600,0.943198,0.00139657
52100,0.939744,0.00505309
52600,0.947631,0.00329693
53100,0.938891,0.00595646
53600,0.932309,0.0129248
54100,0.96215,0.0186688
54600,0.963845,0.0204631
55100,0.95351,0.00952169
55600,0.944411,0.000112137
56100,0.945699,0.00125109
56600,0.946964,0.00259024
57100,0.964381,0.0210313
57600,0.935249,0.00981219
58100,0.951297,0.00717804
58600,0.955291,0.011407
59100,0.946387,0.00197943
59600,0.94693,0.00255423
60100,0.950375,0.00620231
60600,0.944138,0.000401136
61100,0.947073,0.00270602
61600,0.972529,0.0296578
62100,0.95828,0.0145716
62600,0.946743,0.00235725
63100,0.958347,0.0146422
63600,0.952494,0.00844577
64100,0.940969,0.00375611
64600,0.955358,0.0114777
65100,0.953695,0.00971739
65600,0.949094,0.00484574
66100,0.946915,0.00253934
66600,0.973089,0.0302509
67100,0.929616,0.0157765
67600,0.951216,0.0070926
68100,0.975497,0.0328
68600,0.937492,0.007438
69100,0.93507,0.0100023
69600,0.945673,0.0012242
70100,0.943089,0.0015121
70600,0.939026,0.00581341
71100,0.954164,0.0102137
71600,0.953475,0.00948464
72100,0.933514,0.0116495
72600,0.940476,0.00427833
73100,0.950136,0.00594904
73600,0.929283,0.0161289
74100,0.94348,0.00109775
74600,0.933638,0.0115182
75100,0.928069,0.017414
75600,0.93852,0.00634877
76100,0.950495,0.00632947
76600,0.93566,0.00937686
77100,0.945229,0.000753484
77600,0.951917,0.0078351
78100,0.934495,0.0106105
78600,0.941167,0.0035467
79100,0.93067,0.0146602
79600,0.951939,0.00785776
80100,0.952794,0.00876278
80600,0.936027,0.00898874
81100,0.947878,0.00355874
81600,0.94624,0.00182447
